BankName,BankId,Currency,BuyRate,SellRate,BbBuyRate,BbSellRate
The City Bank Ltd.,33,JPY,      -,      -,0.77,0.7468
IFIC Bank Ltd.,16,JPY,      -,      -,0.77,0.7468
Islami Bank Bangladesh Ltd.,39,JPY,      -,      -,0.77,0.7468
National Bank Ltd.,22,JPY,0.7333,0.7595,0.77,0.7468
United Commercial Bank Ltd.,37,JPY,      -,      -,0.77,0.7468
Al-Arafa Islami Bank Ltd.,40,JPY,      -,      -,0.77,0.7468
ICB Islamic Bank Ltd.,46,JPY,      -,      -,0.77,0.7468
BASIC Bank Ltd.,60,JPY,      -,      -,0.77,0.7468
South East Bank Ltd.,31,JPY,      -,      -,0.77,0.7468
Dhaka Bank Ltd.,14,JPY,      -,      -,0.77,0.7468
Eastern Bank Ltd.,11,JPY,      -,      -,0.77,0.7468
Prime Bank Ltd.,28,JPY,      -,      -,0.77,0.7468
NCCBL,23,JPY,      -,      -,0.77,0.7468
Dutch-Bangla Bank Ltd.,15,JPY,      -,      -,0.77,0.7468
Mercantile Bank Ltd.,18,JPY,      -,      -,0.77,0.7468
Standard Bank Ltd.,32,JPY,      -,      -,0.77,0.7468
One Bank Ltd.,27,JPY,      -,      -,0.77,0.7468
EXIM Bank Ltd.,41,JPY,      -,      -,0.77,0.7468
Bangladesh Commerce Bank Ltd.,12,JPY,      -,      -,0.77,0.7468
Bank Asia Ltd.,10,JPY,      -,      -,0.77,0.7468
The Premier Bank Ltd.,35,JPY,      -,      -,0.77,0.7468
Mutual Trust Bank Ltd.,21,JPY,      -,      -,0.77,0.7468
FSIBL,44,JPY,      -,      -,0.77,0.7468
Trust Bank Ltd.,36,JPY,      -,      -,0.77,0.7468
Standard Chartered Bank,53,JPY,      -,      -,0.77,0.7468
Habib Bank Ltd.,50,JPY,      -,      -,0.77,0.7468
Commercial Bank of Ceylon,49,JPY,0.7161,0.7585,0.77,0.7468
State Bank of India,54,JPY,      -,      -,0.77,0.7468
Woori Bank,55,JPY,      -,      -,0.77,0.7468
Bank Alfalah Limited,47,JPY,      -,      -,0.77,0.7468
Citi Bank N.A.,64,JPY,      -,      -,0.77,0.7468
HSBC,51,JPY,      -,      -,0.77,0.7468
Jamuna Bank Ltd.,17,JPY,      -,      -,0.77,0.7468
Brac Bank Limited,8,JPY,      -,      -,0.77,0.7468
Shahjalal Islami Bank Ltd.,43,JPY,      -,      -,0.77,0.7468
NRB Commercial Bank Ltd.,25,JPY,      -,      -,0.77,0.7468
Midland Bank Limited,19,JPY,      -,      -,0.77,0.7468
Modhumoti Bank Limited,20,JPY,,,0.77,0.7468
NRB Global Bank Limited,26,JPY,      -,      -,0.77,0.7468
Union Bank Limited,45,JPY,      -,      -,0.77,0.7468
